%My CSV
%The attributes
att1, att2,    att3, att4, att5, att6, att7
%Data
one,	5.1   , 	3.5		, 	1.4,    0.2, Iris-virginica , 2021-04-03 12:12:12
 two, 4.9		,  3.0,   1.4, 0.2,  		Iris-setosa , 2001-04-03 12:12:12
	three,	4.7, 3.2, 1.3, 0.2, Iris-virginica, 2001-04-03 12:12:12

%This is my comment

four,4.6, 3.1, 1.5, 0.2, Iris-setosa, 2001-04-03 12:12:12
five,5.0                  ,          3.6             ,                1.4, 			0.2  , Iris-setosa,2001-04-03 12:12:12
six,  4.6, 3.4, 1.4, 0.3, Iris-virginica,2001-04-03 12:12:12

%This is my comment

seven  ,5.0, 3.4, 1.5, 0.2, Iris-virginica,2001-04-03 12:12:12



